,rna, status
0,URS000012D749_559292,'not found'
1,URS00006184A9_559292,'not found'
2,URS00001143F5_559292,'not found'
3,URS0000514318_559292,'not found'
4,URS000053F313_559292,'not found'
5,URS000023C730_559292,'not found'
6,URS00001CAAE9_559292,'not found'
7,URS00007E9EB6_559292,'not found'
8,URS00005F2C2D_559292,'not found'
9,URS00001BF64E_559292,'not found'
10,URS000055688D_559292,'not found'
11,URS000061F377_559292,'not found'
12,URS00007F9EA9_559292,'not found'
13,URS000060F99B_559292,'not found'
14,URS0000444F9B_559292,'not found'
15,URS000006F31F_559292,'not found'
16,URS0000348061_559292,'not found'
17,URS00004A7003_9606,'not found'
18,URS000075C8FA_9606,'not found'
19,URS00000F9D45_9606,'not found'
20,URS000075D341_9606,'not found'
21,URS0000ABD82A_9606,'not found'
22,URS000044DFF6_9606,'not found'
23,URS000047A7F4_9606,'not found'
24,URS0000704D22_9606,'not found'
